lga,year,income
Bayside,1990,22811.4
Bayside,1991,22811.4
Bayside,1992,24795.0
Bayside,1993,26778.6
Bayside,1994,26778.6
Bayside,1995,28762.2
Bayside,1996,28762.2
Bayside,1997,30497.85
Bayside,1998,32233.5
Bayside,1999,34713.0
Bayside,2000,34713.0
Bayside,2001,35967.0
Bayside,2002,37333.0
Bayside,2003,38408.0
Bayside,2004,38479.0
Bayside,2005,39654.0
Bayside,2006,41228.0
Bayside,2007,42342.0
Bayside,2008,43475.0
Bayside,2009,45978.0
Bayside,2010,44971.0
Bayside,2011,43964.0
Bayside,2012,42957.0
Bayside,2013,44793.0
Bayside,2014,45985.0
Bayside,2015,46894.0
Bayside,2016,47809.0
Bayside,2017,48383.0
Bayside,2018,49445.0
Bayside,2019,50953.0
Bayside,2020,51718.0
Bayside,2021,53382.0
Bayside,2022,55324.0
Bayside,2023,59885.0
Bayside,2024,62355.44
Bayside,2025,65570.84
Blacktown,1990,21061.43
Blacktown,1991,21061.43
Blacktown,1992,22892.86
Blacktown,1993,24724.29
Blacktown,1994,24724.29
Blacktown,1995,26555.71
Blacktown,1996,26555.71
Blacktown,1997,28158.21
Blacktown,1998,29760.71
Blacktown,1999,32050.0
Blacktown,2000,32050.0
Blacktown,2001,32911.0
Blacktown,2002,33738.0
Blacktown,2003,34968.0
Blacktown,2004,35616.0
Blacktown,2005,36863.0
Blacktown,2006,38099.0
Blacktown,2007,39315.0
Blacktown,2008,40724.0
Blacktown,2009,42334.0
Blacktown,2010,43162.5
Blacktown,2011,43991.0
Blacktown,2012,45630.0
Blacktown,2013,47309.0
Blacktown,2014,48236.0
Blacktown,2015,49080.0
Blacktown,2016,50647.0
Blacktown,2017,51422.0
Blacktown,2018,52802.0
Blacktown,2019,54480.0
Blacktown,2020,56098.0
Blacktown,2021,57353.0
Blacktown,2022,58554.0
Blacktown,2023,62478.0
Blacktown,2024,65055.4
Blacktown,2025,68410.04
Blue Mountains,1990,21114.66
Blue Mountains,1991,21114.66
Blue Mountains,1992,22950.71
Blue Mountains,1993,24786.77
Blue Mountains,1994,24786.77
Blue Mountains,1995,26622.83
Blue Mountains,1996,26622.83
Blue Mountains,1997,28229.38
Blue Mountains,1998,29835.93
Blue Mountains,1999,32131.0
Blue Mountains,2000,32131.0
Blue Mountains,2001,33351.0
Blue Mountains,2002,34484.0
Blue Mountains,2003,35949.0
Blue Mountains,2004,35188.0
Blue Mountains,2005,36243.0
Blue Mountains,2006,37208.0
Blue Mountains,2007,38182.0
Blue Mountains,2008,39534.0
Blue Mountains,2009,41311.0
Blue Mountains,2010,41347.5
Blue Mountains,2011,41384.0
Blue Mountains,2012,43302.0
Blue Mountains,2013,44920.0
Blue Mountains,2014,45821.0
Blue Mountains,2015,46563.0
Blue Mountains,2016,47705.0
Blue Mountains,2017,48325.0
Blue Mountains,2018,49788.0
Blue Mountains,2019,51734.0
Blue Mountains,2020,53047.0
Blue Mountains,2021,54473.0
Blue Mountains,2022,54847.0
Blue Mountains,2023,58987.0
Blue Mountains,2024,61420.39
Blue Mountains,2025,64587.58
Burwood,1990,20184.8
Burwood,1991,20184.8
Burwood,1992,21940.0
Burwood,1993,23695.2
Burwood,1994,23695.2
Burwood,1995,25450.4
Burwood,1996,25450.4
Burwood,1997,26986.2
Burwood,1998,28522.0
Burwood,1999,30716.0
Burwood,2000,30716.0
Burwood,2001,31421.0
Burwood,2002,32772.0
Burwood,2003,33221.0
Burwood,2004,32560.0
Burwood,2005,33266.0
Burwood,2006,34087.0
Burwood,2007,34628.0
Burwood,2008,35453.0
Burwood,2009,37031.0
Burwood,2010,36275.0
Burwood,2011,35519.0
Burwood,2012,36601.0
Burwood,2013,38728.0
Burwood,2014,39914.0
