date,Year,Quarter,lga,dwelling,median_sales_price,lga_shp
2017-Q2,2017,Q2,Albury,Non Strata,320.0,Albury
2017-Q3,2017,Q3,Albury,Non Strata,325.0,Albury
2017-Q4,2017,Q4,Albury,Non Strata,332.0,Albury
2018-Q1,2018,Q1,Albury,Non Strata,335.0,Albury
2018-Q2,2018,Q2,Albury,Non Strata,340.0,Albury
2018-Q3,2018,Q3,Albury,Non Strata,355.0,Albury
2018-Q4,2018,Q4,Albury,Non Strata,360.0,Albury
2019-Q1,2019,Q1,Albury,Non Strata,352.0,Albury
2019-Q2,2019,Q2,Albury,Non Strata,330.0,Albury
2019-Q3,2019,Q3,Albury,Non Strata,333.0,Albury
2019-Q4,2019,Q4,Albury,Non Strata,387.0,Albury
2020-Q1,2020,Q1,Albury,Non Strata,345.0,Albury
2020-Q2,2020,Q2,Albury,Non Strata,458.0,Albury
2020-Q3,2020,Q3,Albury,Non Strata,455.0,Albury
2020-Q4,2020,Q4,Albury,Non Strata,520.0,Albury
2021-Q1,2021,Q1,Albury,Non Strata,530.0,Albury
2021-Q2,2021,Q2,Albury,Non Strata,575.0,Albury
2021-Q3,2021,Q3,Albury,Non Strata,595.0,Albury
2021-Q4,2021,Q4,Albury,Non Strata,680.0,Albury
2022-Q1,2022,Q1,Albury,Non Strata,661.0,Albury
2022-Q2,2022,Q2,Albury,Non Strata,683.0,Albury
2022-Q3,2022,Q3,Albury,Non Strata,635.0,Albury
2022-Q4,2022,Q4,Albury,Non Strata,753.0,Albury
2023-Q1,2023,Q1,Albury,Non Strata,700.0,Albury
2023-Q2,2023,Q2,Albury,Non Strata,672.0,Albury
2023-Q3,2023,Q3,Albury,Non Strata,708.0,Albury
2023-Q4,2023,Q4,Albury,Non Strata,700.0,Albury
2024-Q1,2024,Q1,Albury,Non Strata,715.0,Albury
2024-Q2,2024,Q2,Albury,Non Strata,712.0,Albury
2024-Q4,2024,Q4,Albury,Non Strata,774.0,Albury
2025-Q1,2025,Q1,Albury,Non Strata,730.0,Albury
2025-Q2,2025,Q2,Albury,Non Strata,725.0,Albury
2025-Q3,2025,Q3,Albury,Non Strata,676.0,Albury
2017-Q2,2017,Q2,Albury,Strata,206.0,Albury
2017-Q3,2017,Q3,Albury,Strata,218.0,Albury
2017-Q4,2017,Q4,Albury,Strata,233.0,Albury
2018-Q1,2018,Q1,Albury,Strata,215.0,Albury
2018-Q2,2018,Q2,Albury,Strata,175.0,Albury
2018-Q3,2018,Q3,Albury,Strata,211.0,Albury
2018-Q4,2018,Q4,Albury,Strata,212.0,Albury
2019-Q1,2019,Q1,Albury,Strata,212.0,Albury
2019-Q2,2019,Q2,Albury,Strata,223.0,Albury
2019-Q3,2019,Q3,Albury,Strata,230.0,Albury
2019-Q4,2019,Q4,Albury,Strata,200.0,Albury
2020-Q1,2020,Q1,Albury,Strata,215.0,Albury
2020-Q2,2020,Q2,Albury,Strata,288.0,Albury
2020-Q3,2020,Q3,Albury,Strata,281.0,Albury
2020-Q4,2020,Q4,Albury,Strata,310.0,Albury
2021-Q1,2021,Q1,Albury,Strata,299.0,Albury
2021-Q2,2021,Q2,Albury,Strata,318.0,Albury
2021-Q3,2021,Q3,Albury,Strata,326.0,Albury
2021-Q4,2021,Q4,Albury,Strata,351.0,Albury
2022-Q1,2022,Q1,Albury,Strata,325.0,Albury
2022-Q2,2022,Q2,Albury,Strata,344.0,Albury
2022-Q3,2022,Q3,Albury,Strata,359.0,Albury
2022-Q4,2022,Q4,Albury,Strata,351.0,Albury
2023-Q1,2023,Q1,Albury,Strata,380.0,Albury
2023-Q2,2023,Q2,Albury,Strata,385.0,Albury
2023-Q3,2023,Q3,Albury,Strata,380.0,Albury
2023-Q4,2023,Q4,Albury,Strata,345.0,Albury
2024-Q1,2024,Q1,Albury,Strata,381.0,Albury
2024-Q2,2024,Q2,Albury,Strata,366.0,Albury
2024-Q4,2024,Q4,Albury,Strata,493.0,Albury
2025-Q1,2025,Q1,Albury,Strata,412.0,Albury
2025-Q2,2025,Q2,Albury,Strata,421.0,Albury
2025-Q3,2025,Q3,Albury,Strata,440.0,Albury
2017-Q2,2017,Q2,Albury,Total,290.0,Albury
2017-Q3,2017,Q3,Albury,Total,300.0,Albury
2017-Q4,2017,Q4,Albury,Total,320.0,Albury
2018-Q1,2018,Q1,Albury,Total,297.0,Albury
2018-Q2,2018,Q2,Albury,Total,310.0,Albury
2018-Q3,2018,Q3,Albury,Total,305.0,Albury
2018-Q4,2018,Q4,Albury,Total,308.0,Albury
2019-Q1,2019,Q1,Albury,Total,320.0,Albury
2019-Q2,2019,Q2,Albury,Total,301.0,Albury
2019-Q3,2019,Q3,Albury,Total,319.0,Albury
2019-Q4,2019,Q4,Albury,Total,370.0,Albury
2020-Q1,2020,Q1,Albury,Total,313.0,Albury
2020-Q2,2020,Q2,Albury,Total,430.0,Albury
2020-Q3,2020,Q3,Albury,Total,440.0,Albury
2020-Q4,2020,Q4,Albury,Total,492.0,Albury
2021-Q1,2021,Q1,Albury,Total,500.0,Albury
2021-Q2,2021,Q2,Albury,Total,530.0,Albury
2021-Q3,2021,Q3,Albury,Total,572.0,Albury
2021-Q4,2021,Q4,Albury,Total,640.0,Albury
2022-Q1,2022,Q1,Albury,Total,604.0,Albury
2022-Q2,2022,Q2,Albury,Total,654.0,Albury
2022-Q3,2022,Q3,Albury,Total,600.0,Albury
2022-Q4,2022,Q4,Albury,Total,656.0,Albury
2023-Q1,2023,Q1,Albury,Total,678.0,Albury
2023-Q2,2023,Q2,Albury,Total,646.0,Albury
2023-Q3,2023,Q3,Albury,Total,666.0,Albury
2023-Q4,2023,Q4,Albury,Total,676.0,Albury
2024-Q1,2024,Q1,Albury,Total,670.0,Albury
2024-Q2,2024,Q2,Albury,Total,671.0,Albury
2024-Q4,2024,Q4,Albury,Total,731.0,Albury
2025-Q1,2025,Q1,Albury,Total,673.0,Albury
2025-Q2,2025,Q2,Albury,Total,699.0,Albury
2025-Q3,2025,Q3,Albury,Total,641.0,Albury
2017-Q2,2017,Q2,Armidale Regional,Non Strata,352.5,Armidale Regional
2017-Q3,2017,Q3,Armidale Regional,Non Strata,342.5,Armidale Regional
2017-Q4,2017,Q4,Armidale Regional,Non Strata,345.0,Armidale Regional
2018-Q1,2018,Q1,Armidale Regional,Non Strata,350.0,Armidale Regional
2018-Q2,2018,Q2,Armidale Regional,Non Strata,340.0,Armidale Regional
2018-Q3,2018,Q3,Armidale Regional,Non Strata,359.0,Armidale Regional
2018-Q4,2018,Q4,Armidale Regional,Non Strata,355.0,Armidale Regional
2019-Q1,2019,Q1,Armidale Regional,Non Strata,360.0,Armidale Regional
2019-Q2,2019,Q2,Armidale Regional,Non Strata,320.0,Armidale Regional
